provider_id,program_id,provider_type,legal_name,normalized_name,jurisdiction,authorization_date,current_status,practice_areas_raw,practice_areas_list,ownership_structure,uses_technology,uses_ai,website,first_seen_snapshot_id,last_seen_snapshot_id,source_url,retrieved_at,scraper_version
prov_az_abs_73922c38f8ef,prog_az_abs,entity,"Singular Law Group, PLLC",singular law group,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_759b41fc8491,prog_az_abs,entity,"Priority Financial Group, LLC",priority financial group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_76a25744583b,prog_az_abs,entity,"ABPV, LLC",abpv,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_76e60ac7d4d9,prog_az_abs,entity,"DC Legal Law Firm, PLLC",dc legal law firm,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_7928cb79aa17,prog_az_abs,entity,"LS5 Legal, LLC",ls5 legal,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_7a13ac490366,prog_az_abs,entity,"ElevateNext, LLC",elevatenext,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_7ed89e1f142e,prog_az_abs,entity,"Greenlight Path, Inc",greenlight path,AZ,,exited,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_7fc2c5542493,prog_az_abs,entity,"Cartiga Legal, LLC",cartiga legal,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_80f219f3dcd2,prog_az_abs,entity,"Jacoby & Meyers Mass Torts Law Firm, PLLC (Formerly, National Mass Tort & Class Action Law Firm, PLLC)",jacoby and meyers mass torts law firm formerly national mass tort and class action law firm,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_865104785b91,prog_az_abs,entity,"CAO Legal, LLC",cao legal,AZ,,active,"[""Class Action"", ""Mass Tort"", ""Mass Arbitration""]",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_86f09f2847e0,prog_az_abs,entity,"BOSS Advisors, PLC (formerly Payne Huebsch, LLC)",boss advisors plc formerly payne huebsch,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_873253e50833,prog_az_abs,entity,"The Meadow Law Firm, LLC",meadow law firm,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_882aae679276,prog_az_abs,entity,"Summit National Law Group, LLC",summit national law group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_887481856e82,prog_az_abs,entity,ClaimsHero Holdings LLC,claimshero holdings,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
